eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
LeagueControlledGame,VCB 18U AA Marlins,VCB 18U AA Athletics,04/27/2024 11:30:00,04/27/2024 14:00:00,f4dupbg89ge93vrsfrkkkl8gns
LeagueControlledGame,VCB 18U AA Reds,VCB 18U AA Rangers,04/29/2024 17:30:00,04/29/2024 20:00:00,b0nhhsjsp4pctqfujgvbp1m8dk
Practice,VCB Mounties 15U AA - Red,Practice,04/30/2024 16:30:00,04/30/2024 18:15:00,fbd34vnfhttsmk4mgmut23u9mo
Practice,VCB Expos 15U AA - Blue,Practice,04/30/2024 18:15:00,04/30/2024 20:15:00,02ffcrftvkd9pbc8ais8dhv4po
Practice,VCB Expos 15U AA - Blue,Practice,05/02/2024 16:45:00,05/02/2024 18:45:00,kn8qce8rjmmru23hk104c3rs18
Practice,VCB Mounties 18U AAA,Practice,05/02/2024 18:45:00,05/02/2024 20:45:00,vuc7qc91jg150l7i6ir26gbe2c
LeagueControlledGame,VCB 18U AA Rangers,VCB 18U AA Giants,05/05/2024 12:00:00,05/05/2024 14:30:00,o93v5rtbgkamo5svhgrjcp5img
LeagueControlledGame,VCB 18U AA Pirates,VCB 18U AA Reds,05/06/2024 18:00:00,05/06/2024 20:30:00,3mi9mdf3771n63b2no5nqkimhg
Practice,VCB Mounties 15U AA - Red,Practice,05/07/2024 17:00:00,05/07/2024 18:45:00,9t0muo1uftso9q2obaqa95uj8k
Practice,VCB Expos 15U AA - Blue,Practice,05/07/2024 18:45:00,05/07/2024 20:45:00,f8udskq1eioj75ofg90b6asvlo
Practice,VCB Expos 15U AA - Blue,Practice,05/09/2024 16:45:00,05/09/2024 18:45:00,vvhb8p5iup5b39vfudqmho5gec
Practice,VCB Mounties 18U AAA,Practice,05/09/2024 18:45:00,05/09/2024 20:45:00,u6aoo5hpehl40us5i8dqaaj898
LeagueControlledGame,VCB 18U AA Reds,VCB 18U AA Diamondbacks,05/10/2024 18:00:00,05/10/2024 20:30:00,e8m0cbklskurek0denlegnnda8
